TimeStamp,A,B,C,D,E,F
19980911,12.9046,7.16919,10.9378,19.6177,24.3877,23.4952
19980914,13.2557,7.36509,11.1277,19.7501,24.7425,24.1539
19980915,13.4068,7.91802,11.4059,20.8988,25.1456,24.4376
19980916,13.8797,7.94014,11.5754,21.2703,25.3788,24.5042
19980917,13.4214,7.64313,11.4668,20.3906,24.5434,23.4076
19980918,12.951,7.9591,11.2362,20.2582,24.4182,24.1539
19980921,13.1338,7.8801,11.5109,19.9892,24.4949,24.3956
19980922,14.0771,8.33509,12.04,19.5366,25.1245,24.9632
19980923,14.8694,8.39196,12.4436,21.3771,25.9842,26.256
19980924,14.9303,8.17711,12.1893,19.8568,25.0761,25.2925
19980925,15.0668,8.13603,12.1452,19.4298,25.0237,24.8091
19980928,14.6865,8.05704,12.4233,19.2163,24.7734,25.7725
19980929,14.3526,8.23398,12.5691,19.3231,23.4334,25.2925
19980930,13.9699,8.53099,12.0604,18.3879,22.1217,24.767
19981001,12.9193,8.452,11.7008,17.4014,21.3145,24.7459
19981002,12.9802,8.2561,11.7449,18.7975,22.4002,26.235
19981005,11.854,7.97805,11.4059,17.7979,23.0822,25.9932
19981006,11.3665,8.05704,11.1074,17.7721,24.0388,26.0353
19981007,11.213,8.03809,10.7038,17.2594,23.6877,27.1319
19981008,11.0764,7.64313,10.7275,17.5566,22.9572,27.5909
19981009,12.188,7.94014,11.5754,18.4183,23.8894,27.1739
19981012,13.2386,8.05704,10.9819,18.582,24.5191,27.1529
19981013,12.7072,7.62417,11.1514,18.3666,24.1397,27.5699
19981014,13.224,7.36509,11.321,18.0693,24.7451,27.8747
19981015,13.8943,7.66209,12.0196,19.9521,26.0085,29.0379
19981016,13.5287,8.21502,12.23,21.0594,26.9407,29.1675
19981019,14.3063,8.2561,12.4844,22.0546,27.6713,28.7296
19981020,14.3526,8.05704,12.8473,22.8344,26.5896,28.7085
19981021,15.0668,8.05704,12.8032,23.2135,26.2102,29.4237
19981022,15.2667,8.23398,12.6539,24.1528,26.9166,30.4995
19981023,15.1131,8.01913,12.5488,23.9675,27.4452,30.83
19981026,15.4178,8.35405,12.5081,23.5065,26.4363,30.7843
19981027,15.1131,8.2561,12.3147,22.4036,25.5806,30.148
19981028,15.1277,8.60998,12.5076,22.5673,26.1578,29.6206
19981029,15.998,8.67001,12.5928,23.429,27.1951,30.5452
19981030,15.7225,8.9449,12.6576,24.4242,27.8246,31.1359
19981102,15.8907,9.125,12.7189,24.2605,27.8489,31.5542
19981103,15.7225,8.92594,12.8894,24.1829,26.965,31.5332
19981104,16.4684,9.06496,12.9541,24.9886,27.4452,30.6964
19981105,16.8657,9.04601,13.5098,26.0915,28.2524,31.3784
19981106,16.8804,9.32089,13.6564,26.1992,28.6561,31.6422
19981109,16.8511,9.16291,13.3599,25.2299,28.4301,31.1359
19981110,16.6512,9.28298,13.5507,24.6396,28.3533,31.9937
19981111,16.3173,9.20399,13.4246,24.3423,28.204,31.818
19981112,16.3465,9.06496,13.2302,23.5884,27.6995,31.818
19981113,16.271,9.16291,13.0836,24.6396,28.1032,31.4452
19981116,16.5294,9.08392,13.2746,24.8809,28.7086,32.1027
19981117,16.8804,9.20399,13.8268,26.4147,28.8821,31.4242
19981118,16.6829,9.1832,13.7859,26.6042,29.5642,31.2695
19981119,17.1388,9.1832,13.6803,26.4707,29.3624,31.6422
19981120,17.0778,9.24044,13.5712,26.6861,29.766,32.0817
19981123,17.4605,9.45984,13.3803,27.9226,30.1696,32.8059
19981124,17.2168,9.61883,12.9984,28.0303,30.0687,32.3243
19981125,17.9017,9.45984,12.9541,28.2759,30.6256,31.839
19981127,18.2527,9.53934,12.7189,28.194,30.8759,31.3996
19981130,17.6726,9.59975,12.2519,27.3582,30.4965,30.8722
19981201,18.6939,9.36127,12.4633,26.7938,30.3472,31.0269
19981202,19.4715,9.36127,12.6576,27.1686,29.9193,31.5542
19981203,18.282,9.06237,12.1666,26.4965,28.8579,31.1148
19981204,19.2424,9.36127,12.6133,27.5478,29.54,32.3453
19981207,20.2321,9.85732,12.6337,27.9786,30.4965,31.7968
19981208,20.5368,9.53934,11.9757,27.8967,30.549,30.5663
19981209,20.0492,9.61883,11.7406,27.5219,31.0612,29.5784
19981210,19.5008,9.50118,11.9315,27.0351,30.5804,29.4659
19981211,19.942,9.39943,12.0814,26.2294,30.8309,29.8421
19981214,19.045,9.24044,11.8053,25.3936,30.1521,30.4327
19981215,19.8201,9.34219,11.8053,26.1734,30.6288,31.4452
19981216,19.3326,9.38035,12.061,27.2505,30.5562,30.9179
19981217,19.7445,9.36127,13.1893,30.0509,30.8066,30.7843
